State,District,Population,Tested_Date,Total_Tested,Total_Confirmed,Total_Recovered,Total_Deceased,Total_Vaccinated1,Total_Vaccinated2,Delta_Tested,Delta_Confirmed,Delta_Recovered,Delta_Deceased,Delta_Vaccinated1,Delta_Vaccinated2,Delta7_Tested,Delta7_Confirmed,Delta7_Recovered,Delta7_Deceased,Delta7_Vaccinated1,Delta7_Vaccinated2
Andaman and Nicobar Islands,Nicobars,36842,1970-01-01,0,0,0,0,25394,20313,0,0,0,0,0,0,0,0,0,0,62,811
Andaman and Nicobar Islands,North and Middle Andaman,105597,1970-01-01,0,0,0,0,78945,59522,0,0,0,0,0,8,0,0,0,0,90,1839
Andaman and Nicobar Islands,South Andaman,238142,1970-01-01,0,0,0,0,189662,120322,0,0,0,0,3,28,0,0,0,0,732,8012
Andhra Pradesh,Anantapur,4083315,2020-11-26,787085,157843,156699,1093,2690082,1611476,0,4,5,0,4575,5370,0,38,58,0,92803,140903
Andhra Pradesh,Chittoor,4170468,2020-11-26,780322,246935,244144,1947,2832987,1807873,0,64,87,1,878,1306,0,516,629,6,63824,119541
Andhra Pradesh,East Godavari,5151549,2020-11-26,944746,293836,291610,1290,3532220,1990578,0,87,121,0,41,237,0,604,520,0,36973,223236
Andhra Pradesh,Guntur,4889230,2020-11-26,833823,178068,176629,1237,3440118,1891773,0,33,198,0,1119,1248,0,272,619,4,285377,156818
Andhra Pradesh,Krishna,4529009,2020-11-26,782232,119348,117130,1430,2971604,1914927,0,46,71,1,51,337,0,422,467,9,75352,230788
Andhra Pradesh,Kurnool,4046601,2020-11-26,867361,124142,123264,853,2672759,1290419,0,6,3,0,4716,1538,0,25,26,0,178620,73119
Andhra Pradesh,Prakasam,3392764,2020-11-26,697340,138482,136989,1124,2321031,1521177,0,6,37,0,3292,5872,0,103,290,3,137338,130213
Andhra Pradesh,S.P.S. Nellore,2966082,2020-11-26,682964,146388,144919,1053,2143402,1403240,0,34,23,1,2724,1639,0,155,235,2,96973,114393
Andhra Pradesh,Srikakulam,2699471,2020-11-26,670899,123109,122136,786,1630248,974734,0,19,20,0,2,6,0,132,72,0,18883,129575
Andhra Pradesh,Visakhapatnam,4288113,2020-11-26,744983,157737,156492,1127,2999432,1864960,0,27,30,0,1309,2311,0,237,227,1,65301,207340
Andhra Pradesh,Vizianagaram,2342868,2020-11-26,531433,82967,82231,672,1393491,996097,0,7,11,1,601,1855,0,53,38,1,44847,123576
Andhra Pradesh,West Godavari,3934782,2020-11-26,793098,179077,177680,1117,2525317,1778807,0,40,44,0,878,1884,0,234,246,4,61021,146562
Andhra Pradesh,Y.S.R. Kadapa,2884524,2020-11-26,671761,115623,114904,644,1824032,1328711,0,12,25,0,1005,1101,0,82,163,0,65843,90958
Arunachal Pradesh,Anjaw,21089,2021-01-28,2845,1068,1065,3,11695,7957,0,0,0,0,0,0,0,0,0,0,45,452
Arunachal Pradesh,Changlang,147951,2021-01-28,23861,3807,3780,22,88857,55361,0,0,1,0,0,0,0,3,3,0,298,3803
Arunachal Pradesh,East Kameng,78413,2021-01-28,7489,1094,1094,0,22931,15646,0,0,0,0,0,1,0,0,0,0,76,409
Arunachal Pradesh,East Siang,99019,2021-01-28,21867,3206,3183,17,54001,39434,0,0,5,0,0,0,0,9,10,0,365,2013
Arunachal Pradesh,Kamle,22256,2021-01-28,1385,512,512,0,6946,3874,0,0,0,0,0,0,0,0,0,0,36,185
Arunachal Pradesh,Kurung Kumey,89717,2021-01-28,4201,511,510,1,9121,5601,0,0,0,0,0,0,0,0,0,0,27,255
Arunachal Pradesh,Lohit,145538,2021-01-28,14945,2885,2851,26,31120,22003,0,0,0,0,0,0,0,9,3,0,221,1494
Arunachal Pradesh,Longding,60000,2021-01-28,10342,752,749,2,19259,7826,0,0,0,0,0,0,0,1,0,0,46,356
Arunachal Pradesh,Lower Dibang Valley,53986,2021-01-28,12169,2426,2397,11,32639,22089,0,0,0,0,19,1,0,14,3,0,171,931
Arunachal Pradesh,Lower Siang,80597,2021-01-28,7070,738,730,8,16565,9990,0,0,0,0,0,0,0,0,0,0,37,317
Arunachal Pradesh,Lower Subansiri,82839,2021-01-28,10564,3036,3015,15,26916,18827,0,0,0,0,2,36,0,5,2,0,85,767
Arunachal Pradesh,Namsai,95950,2021-01-28,19987,2124,2102,17,63539,47104,0,0,0,0,0,0,0,4,16,0,209,2436
Arunachal Pradesh,Papum Pare,176385,2021-01-28,41960,18316,18212,98,141168,100258,0,1,1,0,0,0,0,7,12,0,1055,3799
Arunachal Pradesh,Shi Yomi,13310,2021-01-28,2169,262,261,0,6910,5663,0,0,0,0,0,0,0,1,10,0,2,153
Arunachal Pradesh,Siang,31920,2021-01-28,4270,411,408,3,14408,9068,0,0,0,0,0,0,0,0,0,0,40,197
Arunachal Pradesh,Tawang,49950,2021-01-28,14224,2577,2533,20,29553,23287,0,0,0,0,0,0,0,12,8,0,91,759
Arunachal Pradesh,Tirap,111997,2021-01-28,14657,1109,1102,5,31565,21200,0,0,0,0,0,0,0,0,2,0,35,631
Arunachal Pradesh,Upper Dibang Valley,7948,2021-01-28,1910,337,335,2,4156,2603,0,0,0,0,0,0,0,0,1,0,3,11
Arunachal Pradesh,Upper Siang,35289,2021-01-28,6564,1016,1015,1,18594,13671,0,0,0,0,0,0,0,0,2,0,38,411
Arunachal Pradesh,Upper Subansiri,83205,2021-01-28,6217,1958,1952,6,24842,16390,0,0,0,0,0,0,0,0,0,0,93,1122
Arunachal Pradesh,West Kameng,87013,2021-01-28,28155,3545,3518,14,55710,40321,0,0,7,0,15,89,0,1,21,0,206,1914
Arunachal Pradesh,West Siang,112272,2021-01-28,13192,1868,1856,6,33773,27867,0,0,-5,0,0,0,0,0,3,0,63,640
Assam,Baksa,953773,1970-01-01,0,0,0,0,553967,136574,0,0,0,0,39,172,0,0,0,0,2992,15169
Assam,Barpeta,1693190,1970-01-01,0,0,0,0,1095048,448006,0,0,0,0,369,1035,0,0,0,0,10495,48544
Assam,Biswanath,612491,1970-01-01,0,0,0,0,456088,213437,0,0,0,0,507,1655,0,0,0,0,5661,35727
Assam,Bongaigaon,732639,1970-01-01,0,0,0,0,493242,183782,0,0,0,0,85,1287,0,0,0,0,2784,18356
Assam,Cachar,1736319,1970-01-01,0,0,0,0,1101266,402535,0,0,0,0,2149,966,0,0,0,0,26826,21591
Assam,Chirang,481818,1970-01-01,0,0,0,0,288696,102397,0,0,0,0,22,89,0,0,0,0,2488,9573
Assam,Darrang,908090,1970-01-01,0,0,0,0,596783,183724,0,0,0,0,365,270,0,0,0,0,17453,21800
Assam,Dhemaji,688077,1970-01-01,0,0,0,0,431792,184251,0,0,0,0,55,47,0,0,0,0,3423,15318
Assam,Dhubri,1948632,1970-01-01,0,0,0,0,945264,229696,0,0,0,0,1042,1906,0,0,0,0,12450,25644
Assam,Dibrugarh,1327748,2021-02-01,301657,0,0,0,914640,430800,0,0,0,0,699,4007,0,0,0,0,8869,38695
Assam,Dima Hasao,213529,1970-01-01,0,0,0,0,116318,62593,0,0,0,0,160,59,0,0,0,0,2532,3737
Assam,Goalpara,1008959,1970-01-01,0,0,0,0,662016,195521,0,0,0,0,47,81,0,0,0,0,4013,30725
Assam,Golaghat,1058674,1970-01-01,0,0,0,0,711564,306745,0,0,0,0,504,2676,0,0,0,0,6525,51417
Assam,Hailakandi,659260,1970-01-01,0,0,0,0,422295,146888,0,0,0,0,88,705,0,0,0,0,1724,11247
Assam,Hojai,931218,1970-01-01,0,0,0,0,602504,274035,0,0,0,0,512,2979,0,0,0,0,6217,36724
Assam,Jorhat,1091295,1970-01-01,0,0,0,0,649267,297724,0,0,0,0,225,2154,0,0,0,0,3383,39677
Assam,Kamrup,1517202,1970-01-01,0,0,0,0,1079092,409628,0,0,0,0,231,253,0,0,0,0,10451,45828
Assam,Kamrup Metropolitan,1260419,1970-01-01,0,0,0,0,1246239,875897,0,0,0,0,359,1713,0,0,0,0,6625,38155
Assam,Karbi Anglong,965280,1970-01-01,0,0,0,0,284600,102798,0,0,0,0,342,280,0,0,0,0,13744,12778
Assam,Karimganj,1217002,1970-01-01,0,0,0,0,681216,203575,0,0,0,0,331,1382,0,0,0,0,5088,20659
Assam,Kokrajhar,886999,1970-01-01,0,0,0,0,538901,156488,0,0,0,0,162,823,0,0,0,0,3935,19711
Assam,Lakhimpur,1040644,1970-01-01,0,0,0,0,681386,301369,0,0,0,0,148,1555,0,0,0,0,5870,42164
Assam,Majuli,167304,1970-01-01,0,0,0,0,117599,82507,0,0,0,0,36,166,0,0,0,0,1524,7176
Assam,Morigaon,957853,1970-01-01,0,0,0,0,592446,212146,0,0,0,0,264,482,0,0,0,0,5298,27861
Assam,Nagaon,2826006,1970-01-01,0,0,0,0,1203831,448081,0,0,0,0,758,1481,0,0,0,0,16396,36734
Assam,Nalbari,769919,1970-01-01,0,0,0,0,483076,168392,0,0,0,0,388,1492,0,0,0,0,6785,25411
Assam,Sivasagar,1150253,1970-01-01,0,0,0,0,478954,223921,0,0,0,0,46,714,0,0,0,0,1946,23104
Assam,Sonitpur,1925975,1970-01-01,0,0,0,0,767841,434213,0,0,0,0,448,2664,0,0,0,0,8341,48290
Assam,South Salmara Mankachar,555114,1970-01-01,0,0,0,0,239906,76599,0,0,0,0,260,1288,0,0,0,0,1978,15304
Assam,Tinsukia,1316948,1970-01-01,0,0,0,0,795057,286170,0,0,0,0,6637,1679,0,0,0,0,45002,22410
Assam,Udalguri,832769,2020-09-16,24661,0,0,0,504439,133919,0,0,0,0,1935,1396,0,0,0,0,17371,19343
Assam,West Karbi Anglong,300320,1970-01-01,0,0,0,0,127612,42942,0,0,0,0,312,147,0,0,0,0,4593,4186
Bihar,Araria,2806200,2020-10-03,219221,14978,14859,116,1177154,395227,0,0,0,0,5177,3067,0,2,0,0,51331,69085
Bihar,Arwal,700843,2021-01-31,101624,7381,7307,74,345175,116424,0,0,0,0,262,1360,0,0,0,0,4059,17125
Bihar,Aurangabad,2511243,2021-01-31,412007,20011,19936,75,1132482,407913,0,0,0,0,1264,2657,0,0,0,0,25561,56431
Bihar,Banka,2029339,2021-01-31,364776,7379,7267,112,935177,351254,0,0,0,0,2635,3138,0,0,0,0,24239,34077
Bihar,Begusarai,2954367,2020-09-26,213670,27212,26754,457,1430906,480982,0,0,1,0,1906,2774,0,2,7,0,33903,65735
Bihar,Bhagalpur,3032226,2021-01-31,582113,25840,25531,309,1494951,650332,0,0,1,0,2122,3458,0,1,1,0,49875,78088
Bihar,Bhojpur,2720155,2021-01-31,466438,10210,10051,159,1291186,382719,0,0,0,0,3232,4879,0,0,0,0,31626,53006
Bihar,Buxar,1707643,2021-01-31,461428,9248,9066,182,907374,322555,0,0,0,0,1083,2516,0,0,0,0,14794,38792
Bihar,Darbhanga,3921971,2021-01-11,448442,10937,10567,370,1869372,741553,0,0,0,0,2858,5306,0,0,1,0,39165,82276
Bihar,East Champaran,5082868,2020-11-03,548132,19017,18585,430,2498559,1002939,0,0,0,0,2434,8014,0,2,0,0,29316,84760
Bihar,Gaya,4379383,2021-01-31,872359,33952,33672,280,1925234,722746,0,0,0,0,1708,1689,0,0,1,0,72504,82490
Bihar,Gopalganj,2558037,2021-01-31,562654,16685,16591,94,1286763,481968,0,0,0,0,5308,8468,0,0,1,0,31750,70093
Bihar,Jamui,1756078,2021-01-31,342005,9418,9312,106,800488,222093,0,0,0,0,1435,1416,0,0,1,0,24440,24005
Bihar,Jehanabad,1124176,2021-01-31,492255,10783,10674,109,498448,184446,0,0,0,0,498,1617,0,0,0,0,12986,27200
Bihar,Kaimur,1626900,2021-01-31,442332,4984,4837,147,801438,225437,0,0,0,0,1067,2183,0,0,0,0,19996,28681
Bihar,Katihar,3068149,2021-01-31,556438,18145,18051,94,1451838,403046,0,0,0,0,2680,2966,0,0,1,0,53448,75733
Bihar,Khagaria,1657599,2020-10-04,148340,10064,9976,88,775019,222012,0,0,0,0,881,2118,0,0,0,0,15402,32372
Bihar,Kishanganj,1690948,2021-01-31,294321,10128,10057,66,757066,205274,0,3,1,0,1997,1445,0,4,2,0,24597,25592
Bihar,Lakhisarai,1000717,2021-01-31,332434,7776,7674,102,461970,138407,0,0,0,0,595,1005,0,0,0,0,8894,16437
Bihar,Madhepura,1994618,2021-01-31,455482,12547,12435,111,965767,260408,0,0,0,0,2700,4459,0,1,0,0,28832,43563
Bihar,Madhubani,4476044,2021-01-31,715168,18365,18023,339,1974159,680214,0,2,0,0,2735,6686,0,3,0,0,28535,69785
Bihar,Munger,1359054,2021-01-31,325212,15111,14953,158,707588,264665,0,0,0,0,851,2867,0,0,1,0,7445,33005
Bihar,Muzaffarpur,4778610,2021-01-31,722651,31398,30777,621,2253919,717015,0,0,0,0,3545,7023,0,0,1,0,40686,80513
Bihar,Nalanda,2872523,2021-01-31,591346,23432,22964,468,1393762,638181,0,0,0,0,2168,1826,0,0,0,0,36716,66091
Bihar,Nawada,2216653,2020-11-16,322514,10353,10174,178,1062349,274319,0,0,0,0,4176,4338,0,1,0,0,46619,35295
Bihar,Patna,5772804,2021-01-31,676238,147007,144651,2334,3421614,2366474,0,2,3,0,737,2024,0,14,8,0,35436,159875
Bihar,Purnia,3273127,2021-01-05,568756,24427,24247,180,1603099,729224,0,0,0,0,2821,1959,0,0,0,0,61212,74531
Bihar,Rohtas,2962593,2021-01-31,521553,13980,13707,271,1498172,465660,0,0,0,0,4911,4149,0,2,0,0,40918,59698
Bihar,Saharsa,1897102,2021-01-31,356327,17616,17482,134,995618,366567,0,0,0,0,28493,18126,0,0,0,0,106392,80718
Bihar,Samastipur,4254782,2021-01-31,614569,20020,19864,155,1991102,555728,0,1,1,0,3216,5157,0,2,2,0,48167,64119
Bihar,Saran,3943098,2021-01-31,761473,23278,23020,255,1868014,736766,0,0,2,0,4149,6693,0,5,2,0,41734,82407
Bihar,Sheikhpura,634927,2021-01-31,142348,7693,7618,75,287209,95322,0,0,0,0,345,788,0,0,0,0,4942,10739
Bihar,Sheohar,656916,2020-11-16,199431,4404,4368,36,300967,108766,0,0,0,0,666,1629,0,0,2,0,2946,7111
Bihar,Sitamarhi,3419622,2021-01-31,453227,9185,9058,127,1511464,424182,0,0,0,0,3873,5476,0,0,0,0,43474,60677
Bihar,Siwan,3318176,2021-01-31,536438,15195,15025,170,1670590,684755,0,0,0,0,1163,4030,0,0,0,0,18385,69069
Bihar,Supaul,2228397,2021-01-31,456511,17222,17093,129,1069993,369925,0,0,0,0,3029,5131,0,0,0,0,35486,71754
Bihar,Vaishali,3495021,2021-01-31,275884,19827,19632,192,1671469,478638,0,0,0,0,1522,2621,0,1,0,0,45426,59038
Bihar,West Champaran,3935042,2021-01-31,551778,20890,20532,358,1784016,469332,0,0,0,0,7525,6316,0,0,0,0,42709,52019
Chandigarh,Chandigarh,1055450,2021-10-31,792851,65351,64495,820,926035,546981,1403,5,3,0,211,1282,10726,28,20,0,3680,21641
Chhattisgarh,Balod,826165,2020-06-14,2749,27278,26880,396,537459,271570,0,0,0,0,523,762,0,2,1,0,5983,9451
Chhattisgarh,Baloda Bazar,1305343,2020-06-14,3816,43085,42611,471,617777,211945,0,0,1,0,953,605,0,0,3,0,25353,17419
Chhattisgarh,Balrampur,598855,2020-09-20,21481,20302,20182,118,305554,112777,0,0,0,0,1654,725,0,0,0,0,21912,17709
Chhattisgarh,Bametara,197035,2020-06-14,3113,19963,19726,236,405388,132925,0,1,0,0,25,25,0,1,0,0,14367,7690
Chhattisgarh,Bastar,1302253,2020-05-23,4522,21066,20845,188,443759,178775,0,2,2,0,82,129,0,24,2,0,10696,9616
Chhattisgarh,Bijapur,229832,2020-06-14,1239,8324,8263,55,103247,44245,0,3,1,0,47,56,0,5,3,0,1251,913
Chhattisgarh,Bilaspur,1961922,2020-06-14,9823,65681,64448,1210,1031494,525066,0,1,3,0,2404,9113,0,17,8,2,18318,50320
Chhattisgarh,Dakshin Bastar Dantewada,533638,2020-06-14,1168,10840,10809,25,158243,80855,0,1,0,0,143,1299,0,6,2,0,2225,5410
Chhattisgarh,Dhamtari,799199,2020-06-14,1501,27239,26690,545,509782,224591,0,0,2,0,1,18,0,2,2,0,6188,7319
Chhattisgarh,Durg,3343079,2020-06-14,5020,96880,95028,1798,1012391,525445,0,4,6,0,468,908,0,26,18,1,17012,22719
Chhattisgarh,Gariaband,597653,2020-06-14,2096,19701,19506,194,293987,99137,0,0,0,0,440,153,0,1,0,0,9982,5872
Chhattisgarh,Janjgir Champa,1620632,2020-06-14,4016,57636,56766,838,896087,317605,0,2,4,0,1722,1341,0,19,8,1,45568,30991
Chhattisgarh,Jashpur,852043,2020-06-14,2542,27093,26867,212,435884,182747,0,0,3,0,187,383,0,10,6,0,10933,13098
Chhattisgarh,Kabeerdham,584667,2020-06-14,2829,22771,22503,267,402362,173494,0,0,0,0,1128,1288,0,1,0,0,17511,17876
Chhattisgarh,Kondagaon,578326,2020-06-14,1607,13139,13036,99,317695,100468,0,0,0,0,243,184,0,4,1,0,8359,7999
Chhattisgarh,Korba,1206563,2020-06-14,10034,54847,54228,580,650457,287588,0,5,2,0,1086,1126,0,23,11,0,24033,24911
Chhattisgarh,Koriya,659039,2020-06-14,2689,26980,26798,177,375503,128177,0,0,0,1,2370,346,0,6,0,1,15621,5751
Chhattisgarh,Mahasamund,1032275,2020-06-14,2183,31365,31000,365,738333,428365,0,0,0,0,159,6309,0,0,1,0,4416,72466
Chhattisgarh,Mungeli,701707,2020-06-14,2922,23921,23753,167,282508,109857,0,0,0,0,1330,981,0,1,2,0,15254,12880
Chhattisgarh,Narayanpur,140206,2020-06-14,804,4019,4005,14,53032,19468,0,0,0,0,1075,903,0,0,1,0,3057,1858
Chhattisgarh,Raigarh,1493627,2020-06-14,5084,62590,61597,978,1074306,967326,0,2,4,0,752,6265,0,8,8,0,5114,122838
Chhattisgarh,Raipur,4062160,2020-06-14,12704,158035,154852,3139,1557999,915437,0,9,3,0,789,3193,0,33,15,0,10441,40794
Chhattisgarh,Rajnandgaon,1537520,2020-11-09,124947,56077,55557,515,1028876,530711,0,0,0,0,596,650,0,5,3,0,15753,25270
Chhattisgarh,Sukma,249000,2020-06-14,1723,8066,8041,20,134654,81437,0,0,1,0,140,77,0,1,4,0,3208,5401
Chhattisgarh,Surajpur,660280,2020-06-14,1830,29029,28805,224,419247,163526,0,0,0,0,442,322,0,0,0,0,13506,13873
Chhattisgarh,Surguja,420661,2020-11-18,103578,33673,33426,245,468885,277031,0,0,0,0,1831,1834,0,2,0,0,29827,33226
Chhattisgarh,Uttar Bastar Kanker,748593,2020-06-14,2051,23636,23407,224,405744,171484,0,0,0,0,995,645,0,3,1,0,17930,14621
Delhi,Delhi,19814000,2021-10-31,29427753,1439870,1414431,25091,13055636,7425404,56751,45,46,0,12482,11839,395086,267,239,0,160323,269146
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,343709,2020-10-20,44813,5920,5910,3,387772,183553,0,0,0,0,3,18,0,0,0,0,870,6759
Dadra and Nagar Haveli and Daman and Diu,Daman,191173,2020-10-20,19338,3543,3516,1,234202,155547,0,0,1,0,0,0,0,0,2,0,1880,6793
Dadra and Nagar Haveli and Daman and Diu,Diu,52074,2020-10-20,8259,1218,1218,0,38779,31153,0,0,0,0,0,0,0,0,0,0,52,690
Goa,North Goa,817761,1970-01-01,0,0,0,0,600586,424066,0,0,0,0,1070,5967,0,0,0,0,4007,23958
Goa,South Goa,639962,1970-01-01,0,0,0,0,661972,487016,0,0,0,0,1492,6405,0,0,0,0,4401,22504
Gujarat,Ahmedabad,7208200,2021-02-02,2556492,238334,234889,3411,5961594,3439921,0,4,2,0,1765,11394,0,22,14,0,47316,169891
Gujarat,Amreli,1513614,2021-02-02,212265,10810,10708,102,927389,551970,0,0,0,0,399,3792,0,0,0,0,5473,39398
Gujarat,Anand,2090276,2021-02-02,171851,9637,9581,49,1471865,935893,0,0,0,0,4876,2866,0,6,1,0,33012,46764
Gujarat,Aravalli,1051746,2021-02-02,122182,5186,5108,78,717964,522361,0,0,0,0,2,106,0,0,0,0,1439,32201
Gujarat,Banaskantha,3116045,2021-02-02,218527,13631,13469,162,2140492,1157901,0,0,0,0,390,3521,0,0,0,0,16080,82985
Gujarat,Bharuch,1550822,2021-02-02,156057,11426,11308,118,1217587,669742,0,0,0,0,1539,2936,0,0,0,0,21270,45926
Gujarat,Bhavnagar,2877961,2021-02-02,392834,21447,21143,301,1680398,986097,0,1,0,0,359,1470,0,1,0,0,19467,81374
Gujarat,Botad,656005,2021-02-02,98559,2218,2176,42,378232,228691,0,0,0,0,13,235,0,0,0,0,929,14235
Gujarat,Chhota Udaipur,1071831,2021-02-02,93838,3395,3357,38,635695,420157,0,0,0,0,4,818,0,0,0,0,699,19920
Gujarat,Dahod,2126558,2021-02-02,218259,9955,9917,38,1499052,631818,0,0,0,0,8,1930,0,0,0,0,626,53547
Gujarat,Dang,226769,2021-02-02,31921,866,848,18,156334,59262,0,0,0,0,2,1,0,0,0,0,4140,3726
Gujarat,Devbhumi Dwarka,752484,2021-02-02,80424,4175,4093,82,504501,309771,0,0,0,0,315,373,0,0,0,0,4666,24924
Gujarat,Gandhinagar,1387478,2021-02-02,292598,20754,20549,205,1175562,706208,0,0,0,0,69,367,0,0,0,0,5475,36333
Gujarat,Gir Somnath,1217477,2021-02-02,121948,8570,8499,67,845224,363467,0,0,0,0,912,15,0,2,2,0,8524,15341
Gujarat,Jamnagar,2159130,2021-02-02,307911,34978,34494,478,1111813,653950,0,0,1,0,367,1366,0,5,3,0,9406,37158
Gujarat,Junagadh,2742291,2021-02-02,199699,20505,20226,272,1316479,733025,0,2,0,0,62,1232,0,6,2,0,2660,71531
Gujarat,Kheda,2298934,2021-02-02,218140,10439,10391,48,1454344,893742,0,0,0,0,124,2105,0,0,1,0,11668,73838
Gujarat,Kutch,2090313,2021-02-02,267060,12631,12474,145,1412923,680232,0,0,0,0,15,351,0,5,1,0,8920,49662
Gujarat,Mahisagar,994624,2021-02-02,122796,8194,8122,72,815594,459520,0,0,0,0,1,929,0,0,0,0,62,16517
Gujarat,Mehsana,2027727,2021-02-02,229904,24419,24242,177,1405786,869969,0,0,0,0,71,723,0,0,1,0,7523,48550
Gujarat,Morbi,960329,2021-02-02,157321,6502,6415,87,674000,308840,0,0,0,0,31,118,0,0,0,0,9950,20297
Gujarat,Narmada,590379,2021-02-02,76134,5955,5940,15,413260,279684,0,0,0,0,2,12,0,0,2,0,546,13890
Gujarat,Navsari,1330711,2021-02-02,129099,7215,7181,24,948673,647484,0,0,1,0,62,2009,0,5,13,0,1852,29095
Gujarat,Panchmahal,2388267,2021-02-02,160981,11770,11700,70,1105110,626003,0,0,0,0,80,1246,0,0,0,0,7294,44832
Gujarat,Patan,1342746,2021-02-02,169059,11624,11495,129,850462,533438,0,0,0,0,20,259,0,0,0,0,3369,37745
Gujarat,Porbandar,586062,2021-02-02,97912,3486,3467,19,419364,256377,0,0,0,0,48,1062,0,0,0,0,1140,13063
Gujarat,Rajkot,3157676,2021-02-02,731251,57976,57243,725,2227111,1255012,0,0,7,0,43,153,0,7,7,0,17510,53546
Gujarat,Sabarkantha,2427346,2021-02-02,182090,9317,9159,157,1000517,596705,0,0,0,0,66,1181,0,1,0,0,4232,45789
Gujarat,Surat,4996391,2021-02-02,1938229,143874,141885,1956,4781894,2529712,0,4,4,0,2525,7090,0,38,30,1,35083,115694
Gujarat,Surendranagar,1755873,2021-02-02,201153,8121,7985,136,1113845,715931,0,0,0,0,51,647,0,0,0,0,18641,79795
Gujarat,Tapi,806489,2021-02-02,92524,4441,4417,24,527345,303297,0,0,0,0,14,111,0,0,0,0,3010,23409
Gujarat,Vadodara,3639775,2021-02-02,695670,78159,77335,788,2612578,1940514,0,6,2,0,437,12194,0,36,14,0,16527,182027
Gujarat,Valsad,1703068,2021-02-02,155380,6405,6308,53,1232139,704675,0,3,6,0,84,46,0,25,25,1,6616,36430
Himachal Pradesh,Bilaspur,382056,2020-12-19,39738,14374,14120,85,323204,234916,0,11,12,0,6,329,0,133,77,0,695,15071
Himachal Pradesh,Chamba,518844,2020-12-19,53505,13687,13492,160,364258,198146,0,0,2,0,146,1749,0,27,13,0,1439,18796
Himachal Pradesh,Hamirpur,454293,2020-12-19,46407,17379,16741,287,377332,269143,0,11,50,0,0,32,0,288,228,4,713,26076
Himachal Pradesh,Kangra,1507223,2020-12-19,94910,50818,48872,1125,1182563,725754,0,40,108,1,2,23,0,657,454,10,2399,39940
Himachal Pradesh,Kinnaur,84298,2020-12-19,6730,3507,3465,38,79673,63209,0,0,1,0,0,0,0,2,6,0,95,517
Himachal Pradesh,Kullu,437474,2020-09-29,12012,9692,9496,158,351261,203549,0,0,3,0,0,0,0,19,18,0,889,9323
Himachal Pradesh,Lahaul and Spiti,31528,2020-10-31,540,2953,2935,18,31920,20986,0,0,0,0,0,0,0,0,0,0,30,412
Himachal Pradesh,Mandi,999518,2020-12-19,41895,31606,30983,448,775242,479355,0,4,5,0,99,2275,0,140,141,3,1156,26214
Himachal Pradesh,Shimla,813384,2020-12-19,32922,27549,26786,641,678341,412640,0,4,9,0,20,1688,0,100,66,3,2224,37351
Himachal Pradesh,Sirmaur,530164,2020-12-19,42564,15456,15244,211,423793,209631,0,0,0,0,52,1185,0,1,0,0,1388,22247
Himachal Pradesh,Solan,576670,2020-12-19,57200,22817,22472,314,691163,339630,0,4,2,0,33,493,0,25,27,0,1393,21242
Himachal Pradesh,Una,521057,2020-12-19,52905,14268,13804,253,434945,286819,0,11,6,0,24,396,0,145,124,0,824,16782
Haryana,Ambala,1136784,2021-01-30,206003,30150,29639,509,873020,571772,0,0,0,0,100,587,0,2,1,0,3021,25458
Haryana,Bhiwani,1629109,2021-01-30,176225,22409,21757,652,741251,317765,0,0,0,0,578,2454,0,0,0,0,6166,25664
Haryana,Charkhi Dadri,502276,2020-10-28,58525,5078,4939,139,364599,262184,0,0,0,0,2,35,0,0,2,0,941,11884
Haryana,Faridabad,1798954,2021-01-30,504970,99902,99157,716,1658940,840997,0,1,0,0,818,1577,0,18,7,0,17515,30156
Haryana,Fatehabad,941522,2020-08-29,27456,17875,17394,481,574546,201763,0,0,0,0,30,37,0,0,0,0,1800,7458
Haryana,Gurugram,1514085,2021-01-30,742619,181428,180454,922,2193114,1377160,0,7,8,0,264,1637,0,55,48,0,20221,48107
Haryana,Hisar,1742815,2021-01-30,322039,53995,52857,1136,994213,332162,0,0,0,0,58,111,0,2,0,0,5821,12364
Haryana,Jhajjar,956907,2020-11-30,186853,18849,18514,328,684511,293496,0,0,0,0,569,996,0,1,0,0,8229,19599
Haryana,Jind,1332042,2020-07-13,11157,21209,20675,533,704573,250859,0,0,0,0,490,567,0,1,0,0,13366,21662
Haryana,Kaithal,1072861,2020-07-13,11687,11244,10898,346,615168,217439,0,0,0,0,69,149,0,0,2,0,4183,11836
Haryana,Karnal,1506323,2021-01-30,185147,40037,39484,552,1000120,451876,0,1,0,0,617,217,0,1,0,0,8109,23328
Haryana,Kurukshetra,964231,2021-01-29,198881,22147,21789,357,610380,248125,0,0,0,0,55,199,0,1,1,0,4064,9522
Haryana,Mahendragarh,921680,2021-01-30,143253,21689,21534,155,576527,264911,0,0,0,0,205,529,0,0,0,0,4857,10632
Haryana,Nuh,1089406,2020-11-01,93389,5014,4890,123,354422,78081,0,0,0,0,2433,583,0,0,0,0,10812,3789
Haryana,Palwal,1040493,2021-01-30,139809,11025,10872,153,608874,221786,0,0,0,0,358,259,0,0,0,0,7558,9496
Haryana,Panchkula,558890,2020-12-05,118725,30770,30379,378,456675,279951,0,1,2,0,127,1033,0,10,12,0,1786,10743
Haryana,Panipat,1202811,2020-10-06,58863,31150,30510,638,830805,273172,0,1,0,0,375,1054,0,1,0,0,7950,12888
